@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
Thank you @ZUNE for todays Album of the Day . Good choice that fits perfectly .		{}
RT @LightCMS : Day 6 : Win 1 of 10 iPads from @LightCMS - RT to enter or read more http://speaklight.com/iPad		{}
HAPPY B . DAY TORA * OOOOOOOOO * ~		{}
Artful Pumpkins Ladies Long Sleeve : Artful Pumpkins Ladies Long Sleeve . Altered vintage design . Backgroun ... http://bit.ly/9RRYOI #tshirts		{}
@HeartLessVick Lol , was george with carmen today ;D	carmen||george	{'carmen': '/en/carmen', 'george': '/en/george_gershwin'}
Sunday can you please hurry up and get here already ?! I want to see @nickjonas @kevinjonas @joejonas already ! Concert's going to be rad ! :P	want to||Concert||get here	{'want to': '/en/i_dont_want_to_miss_a_thing', 'Concert': '/en/concert_for_george', 'get here': '/en/get_here'}
@dena33 have a good weekend ! Next time I'm at Gardens we are joining eatery forces .	Gardens	{'Gardens': '/en/kew_royal_botanic_gardens'}
If Partner left me and BB I would not hunt him down . I'd take his calls but it would be his job to make sure he spent time with BB .	Partner||BB	{'Partner': '/en/partnership', 'BB': '/en/clarinet'}
you know its bad when you do that , but you don't care .		{}
@victorcajiao So can I call in sick on my last day on the job so I can go out there and look at it ? :-)		{}
Been working like crazy these past couple dayzz -__- ... well at least for a high school student ... got home today and CRASHED =D		{}
RT @ZodiacFacts : #ZodiacFacts As a #Pisces you may find your thoughts racing so fast you can't keep up with them .		{}
ASPCA PETA HSUS .. Animal rescue or BIG BUSINESS ? http://tl.gd/63aeok CK OUT THIS SERIES OF LINKS BEFORE YOU DONATE	BIG BUSINESS||PETA	{'BIG BUSINESS': '/en/big_business', 'PETA': '/en/people_for_the_ethical_treatment_of_animals'}
@leesalulu perfect round for us this week .... and yes , I'm convincing myself it's as hard as any other week !		{}
There is like no mayo on this sandwich ! Ugh .... next time Im going with my dad		{}
The only problem with taxing ur car online is its no fun not paying anything for a 5litre car when its a classic :)		{}
Oscar's new favorite pass time is running as fast as he can from one end of the house to another yelling BuhBYYYYYE	as fast as||Oscar||the house	{'as fast as': '/en/im_dancing_as_fast_as_i_can', 'Oscar': '/en/oscar_wilde', 'the house': '/en/the_house_of_bernarda_alba'}
@batonabike I feel really sorry , the ratbags , maybe in a few years when you are straight and enjoying it all , you will forget		{}
@BundleHunt Is it being released today or soon ?		{}
Man I swear I bought 2 new outfits but it's cold them dresses not gettin worn today ....		{}
its time to have some fun tonight : )		{}
Anja Rubik Model in Lingerie of the Day http://f.ast.ly/DCaEM	Anja Rubik	{'Anja Rubik': '/en/anja_rubik'}
@jeffpulver @wildman94 @MusicIsGood4U thanks for hitting me and @shoewolf up . Let me know when that DM with all the info has been sent .		{}
Wow , I'd forgotten when Jenny was actually really nice lol #theLword	Jenny	{'Jenny': '/en/curtiss_jn-4'}
no mins ha i guess i aint goin to town today ha just gonna stay and ball ....		{}
Latest Fsbo Auctions | No Qualifying Loan : US $32.00 . End Date : Tuesday Oct-12-2010 20:30:22 PDT Buy It Now for on ... http://bit.ly/9IV2ex	US	{'US': '/en/us'}
RT @relentless1323 : I hate when a nigga shows me a video of him on his phone , gettin some head from a shorty . Im Like yo ... U just showed ...		{}
Watching The Room for like the fifth time . It's a classic . Tommy WIseau is a genius . #theroom #tommywiseau	Tommy WIseau	{'Tommy WIseau': '/en/tommy_wiseau'}
Saturday Night , Knighttime Billiards with 4D ! Lets help Bonita celebrate her Birthday ! Come early and make a toast !	4D||Billiards||Saturday Night||Bonita	{'4D': '/en/4-d_film', 'Billiards': '/en/billiards', 'Saturday Night': '/en/saturday_night_live', 'Bonita': '/en/bonita'}
the current library plan is to go Monday morning . first books on shelves , then holds , then check bookstore on way home for The Replacement .	Monday morning	{'Monday morning': '/authority/netflix/tiny/BVV4t'}
Really wish I can see a rocket to the moon today . They would totally make my day .		{}
@cdellz11 yeah . But it's been so long . I miss home . But u still on ur grind tho . That's wassup .		{}
OH : Power nap . I need it . Its been a stressful week . I'm excited for xmas , haha . Goodnight . :) http://bit.ly/9fQGkC	xmas	{'xmas': '/en/christmas'}
RT @_MyNameBrandon_ @Mr_Marcell lol ! yeah aint nothing there but my family . < thaz really it now .. to b honest ... when u coming dwn to sam	sam	{'sam': '/en/surface-to-air_missile'}
Please , I wanna apologize in advance for my boundless verbosity tonight . I'm UI(as in DUI ) feel me ?	DUI||UI(as	{'DUI': '/en/mel_gibson', 'UI(as': '/en/user_interface'}
RT @broniaisdeadly : http://www.youtube.com/watch?v=yRyK9doEmHE < A DAY IN THE LIFE OF ME . Go comment and subscribe and I'll love you ...		{}
Ducks sign LW Beleskey to 2-year extension - San Jose Mercury News http://dlvr.it/5RcvP #ANADucks	San Jose Mercury News||Ducks	{'San Jose Mercury News': '/en/san_jose_mercury_news', 'Ducks': '/en/anaheim_ducks'}
patate mai c long kan m pr just ki se dise oui #ss4	mai||c||ki||kan	{'mai': '/en/chiang_mai_province', 'c': '/en/501', 'ki': '/en/kyon_ki', 'kan': '/en/kannada_language'}
What my #Followers Doing tonight ?		{}
every time u smile =)		{}
@Miss_SarahBaby hmmm .. u kno when happy hour ends ?		{}
RT @VanessaSCassie : Ok , one more tweet before I go : Fresh Look Fridays post was on an math games site for #smartboard http://bit.ly/b4MXHG	#smartboard||Fridays	{'#smartboard': '/en/smartboard', 'Fridays': '/en/fridays'}
Asprin , check , cup of tea , check , pillow , check , warm sleeping bag , check , fanfiction on the laptop , check . Time to settle down and relax		{}
Shopping day with JC - so excited !	JC	{'JC': '/en/j_c_penney'}
@miaturner OOC : Feeling a little volent today , huh ?	OOC	{'OOC': '/en/benzoyl_peroxide'}
@CarolynAWebster I'm okay . Had better days .		{}
@bakontrack I was on a successful business trip !!! I had no time to tweet !!!		{}
First week of school has been crazy . Everyone is very moody and tired !		{}
Branching out from Lincoln park after dark ... Hello " Russian navy " it's like the same thing but with glitter !	Russian navy||Lincoln park	{'Russian navy': '/en/russian_navy', 'Lincoln park': '/en/chicago'}
#DiggyFollows50 @Diggy_simmons FOLLOW ME PLZ CAUSE IM HAVIN A BAD DAY AND WOULD BE SO MUCH BETTER IF U FOLLOWD ME . BUMPING AIRBORNE RIGHT NOW	FOLLOW ME||RIGHT NOW	{'FOLLOW ME': '/en/follow_me_home', 'RIGHT NOW': '/en/right_now'}
Time to begin looking for somewhere to live around Coolum . Sun , sand , surf and bikinis . Looking forward to my new phase in life .	Sun||Coolum	{'Sun': '/en/the_sun', 'Coolum': '/en/coolum_beach'}
RT @SdotYoung : @MRsPRETTyKANDi If i could be with u for our b'days that would be amazin ... << ii DEF agree Boo .. we should do our best to		{}
Balloon glowing ? We'd love to see you before or after at Pi ! CWE and Delmar are around the corner , Kirkwood & ... http://fb.me/I6SZ52nW	Kirkwood||Pi||CWE||Delmar	{'Kirkwood': '/en/kirkwood_missouri', 'Pi': '/en/pi', 'CWE': '/en/mitre', 'Delmar': '/en/delmar_loop'}
Every seven years you lose around half of your friends , and replace them with new friends .		{}
2 days till #BoardwalkEmpire		{}
Rain rain go away come back when it's not my dads birthday .		{}
Justin Timberlake ft . Beyonce - Until the End of Time http://t.co/kUe6djJ via @youtube	Justin Timberlake||Beyonce	{'Justin Timberlake': '/en/justin_timberlake', 'Beyonce': '/en/beyonce'}
What game come on tonight ?		{}
Tonight @AZUKARlounge Baka Boyz LIVE w/ DJ Elements 103.5 & Soreal . $150 VIP booths tonight . Text 916.960.8120 for NO cover glist !!	Boyz||Baka Boyz||DJ||Soreal||Baka	{'Boyz': '/en/new_boyz', 'Baka Boyz': '/en/the_baka_boyz', 'DJ': '/en/dj_antoine', 'Soreal': '/en/soreal_cru', 'Baka': '/en/the_baka_boyz'}
RT @Sexstrology : Virgos need to learn how to relax at the end of the day . You tend to stress yourself out due to your high standards .		{}
Second-year CBs Jerraud Powers and Jacob Lacey don't remember much about Manning Bowl I . Both were college ... http://bit.ly/at71uZ	Jacob||Jerraud Powers||Manning Bowl||Lacey||CBs	{'Jacob': '/en/jacob', 'Jerraud Powers': '/en/jerraud_powers', 'Manning Bowl': '/en/manning_bowl', 'Lacey': '/en/lacey', 'CBs': '/en/cbs'}
RT @ATeenageThought : i hate it when my parents want me to come home early from a party , but i wanna stay really late #ATeenageThought		{}
The Wolves to host the Lions for game time ! Follow us for scores and updates throughout the game !	the Lions||the game	{'the Lions': '/en/final_fantasy_tactics_the_war_of_the_lions', 'the game': '/en/the_godfather_the_game'}
not sure how i feel about the rain right now ... but what a wonderful day it has been ... can't wait for later tonight !!!		{}
Today is a logistical nightmare ! Committed to a b'day party attendance but discover I have 2 kids , no car & only plastic money . #amplotting		{}
RT @WholeFoodsATX : Anyone out there getting excited 4 ' Dazed & Confused ' on our rooftop plaza tonight ? Movie starts at sundown ! #30thBday		{}
RT @pinkbikeralph : Working at BAR tonight . 1309 sansom st. More secrets than Copa . Shhhhh ...	Copa	{'Copa': '/en/copa_del_rey'}
YOU ! @STARLIGHTWALTZ ! Do you want to go to art showing with me ? At 7 ? Tomorrow ? Please ? <3 you		{}
smh i love my male friends ...... my female friends well i like yall most of the time lol		{}
Want to see the view from our floor of yesterday's police car mayhem during the shooting incident ? http://wp.me/11Azj		{}
@Angie_Jerez will u b attending to da Mexican parade in 5th ave dis Sunday ?	Mexican	{'Mexican': '/en/primera_division_de_mexico'}
Anybody who waits until AFTER the last item is scanned and the total is calculated to get out a checkbook or d ... http://tinyurl.com/2c4wqjv		{}
ahhh the disapointment , after all them awkward bait moments .		{}
we need some time alone we need to let it BREATH		{}
RT @Purpl3_Kiss3s : when a female thinks she's in love u cant tell her shit !	tell her||she	{'tell her': '/en/tell_her_no', 'she': '/en/van_she'}
Every night & every day !!	every day||Every night	{'every day': '/en/every_day', 'Every night': '/en/every_night'}
After 2 months not even a word . Guess ure fine .. thanks for being nothing but a fake . Seriously cycling ?		{}
The Town was a really good movie !!! Now passing the time watching " Easy A " until " Devil " starts !	the time||The Town	{'the time': '/en/the_time_machine_1960', 'The Town': '/en/the_talk_of_the_town'}
Ahaha , the look on @__nancy ' s face when someone asks ' What part of the States are you from ? ' is PRICELESS .		{}
@singingislife15 Follow Friday :)		{}
: Dan is using his new course and made 12'000 Gold in 2 Weeks ! You can do it to ! spon http://tinyurl.com/364pkdn http://bit.ly/cJfTJ8	Dan||Gold	{'Dan': '/en/dan_rank', 'Gold': '/en/music_recording_sales_certification'}
Shot with a Jaybilizer today ... my teacher designed this , totally sweet ! http://jaybilizer.com/products/jaybilizer-hdslr/		{}
@HotwifeKay after Big Maxxx @killerCram " left his mark " on my hottie SlutWife : http://tinyurl.com/25gxuvq	Big||Big Maxxx||Maxxx	{'Big': '/en/big_bang', 'Big Maxxx': '/authority/musicbrainz/61a89018-5d73-4233-aeaf-2b291185ab8f', 'Maxxx': '/en/maxxx'}
#obsessions tonight ! Ima do some new tatts on my self I feel like showing off !		{}
@KatiesPizza On the menu at #playwithyourfood this Sunday : hot , fresh ricotta donuts with blackberries and honey . http://tiny.cc/6dshg	blackberries	{'blackberries': '/authority/usda/food/09042'}
@maureenjohnson : Zombies . You always have to be careful because you never know when they'll strike .		{}
Just casually stalking Cheryl AND Dermot tomorrow .... NO BIGGIE	Cheryl||Dermot||BIGGIE	{'Cheryl': '/en/cheryl_cole', 'Dermot': '/en/dermot_oleary', 'BIGGIE': '/en/the_notorious_big'}
@justinbieber concert tonight ! <3 so pumped !! :D going to leave the concert being his favorite girl ! And I will be one less lonely girl ! <3		{}
SCOTT WEILAND Announces Memoir Release - Music News Net : MUSIC NEWS - Simon & Schuster has announced a March 8 , 20 ... http://bit.ly/ayLf9C	Simon||SCOTT WEILAND||Schuster	{'Simon': '/en/simon_schuster', 'SCOTT WEILAND': '/en/scott_weiland', 'Schuster': '/en/simon_schuster'}
Getting the 10am bus tomorrow #thethingsido		{}
Relieved that the first full week of school is over ! So happy I can sleep in tomorrow !		{}
@Terrysagirl love to , it's iffy though , i don't wanna give up privacy for the guys . But after episode one , they should be on imdb ;)	imdb	{'imdb': '/en/internet_movie_database'}
It sucks when you eat old cookies for lunch and they make you feel barfy .		{}
Tomorrow - London - Hyde Park Corner - 1.30 pm . If you cannot be there - send out supportive thought waves !	London||Hyde Park Corner	{'London': '/en/london_underground', 'Hyde Park Corner': '/en/hyde_park_corner_tube_station'}
@KisssMyASS_ when ya birthday		{}
Gonna be on national television monday and on the internet tuesday . Interview ' cause of the text I wrote on the day against homophobia		{}
Jets coach Rex Ryan pleased with the offense this week in practice http://bit.ly/9GkyjU	Jets||Rex Ryan	{'Jets': '/en/new_york_jets', 'Rex Ryan': '/en/rex_ryan'}
Toy story 3 tonight on the lawn !		{}
IF YOU HAVEN'T HEARD ... THERE IS AN AMAZING SHOW GOING ON TONIGHT AT JANNUS LIVE ... SUENALO ! FROM MIAMI W/ SHAKEMODE AND INDIGENOUS ...	MIAMI||JANNUS	{'MIAMI': '/en/miami', 'JANNUS': '/en/jannus_landing'}
HPU pau for the day ! Happy Aloha Friday !!!	pau	{'pau': '/en/grand_prix_de_pau'}
Morning ....! I really never enjoy to sleep ... hhmmm .. Have a nice saturday all ..! Hehehehehe		{}
RT @GraceThorson : I enjoy reading , because I can visit different places/time periods , and I always learn something from it . @ChristianScroll		{}
MOTOGP : Round 13 , Motoland of Aragon , Spain , day one . Marlboro Ducati's Casey Stoner wasted no time in taking ... http://fb.me/HSTaAyrb	Marlboro||Casey Stoner||Aragon||Spain	{'Marlboro': '/en/marlboro', 'Casey Stoner': '/en/casey_stoner', 'Aragon': '/en/james_i_of_aragon', 'Spain': '/en/philip_v_of_spain'}
@Iamjustinbieb i know that today is follow friday . so im guessing thats what i means . but im not suree lmaoo		{}
An entire stack of papers has disappeared . I think that is a sign to wrap up for the week .		{}
TOP EVENT --> http://schmap.it/98hCOt - And tomorrow the @BaristaThing Event goes down - open to pros , home baristas , c ... ( via @CoffeeGeek )		{}
Lmao . I have a feeling Imma get yelled at tomorrow . Big time . XD Ehh oh well		{}
The forced ads in ngmoco games are outstandingly annoying ! Looks like it's time to delete all their apps from my iOS devices !	ngmoco||iOS	{'ngmoco': '/en/ngmoco', 'iOS': '/en/iphone_os'}
@joshHnumber1fan its okay then .. make it when it works :D		{}
@ItsMariaSmith @PaddiStone hahah ohkayy when ?		{}
June Fest 2010 ~ Forgotten Door LIVE ! http://fb.me/G1pof3lO		{}
This is a battle song .. Brothers and sisters .. Time to go to war !		{}
RT @BettyCrocker : Less than 25 followers to go ! Let's reach 11,000 before the weekend ! :) http://ht.ly/2G4sQ #sweepstakes		{}
Fave Looks from SS 2011 Fashion Week : Jason Wu read more http://bit.ly/brsV4V	SS||Jason Wu	{'SS': '/en/schutzstaffel', 'Jason Wu': '/en/jason_wu'}
@jenniferehle : Did you get heavy rains up there yesterday ?		{}
RT @davehodg : Pope says atheists pick & choose their morals . Correct . Today I will be frowning on child abuse & not having a problem wit ...	Pope	{'Pope': '/en/pope'}
Accounts Payable Coordinator North York - $37K ( 1 year Contract)Location : Toronto , Ontario , CANADA ... http://bit.ly/aOe78A #jobs	Toronto||CANADA||Ontario||North York	{'Toronto': '/en/university_of_toronto', 'CANADA': '/en/liberal_party_of_canada', 'Ontario': '/en/university_of_western_ontario', 'North York': '/en/north_york_rangers'}
@coulditbeJenG It was 20 years ago . They're coming after me , I just know it .		{}
Love me when I least deserve it , because that's when I need it the most .		{}
of my days like paris hilton doing blowjobs on camera to earn enough money to feed my angry birds habbit until i die	paris hilton	{'paris hilton': '/en/paris_hilton'}
jus about to get dressed and leave again .... smh a very long day		{}
" In business , Tuesday is usually the most productive day . For Twitter , is when people tweet the most " - Ironic , isn't it ?	Twitter	{'Twitter': '/en/twitter'}
Got some close friends from back home over tonight . Might get a little carried away woot		{}
I madw my email when i was 10 and yeah its really embarissing lol		{}
good day . bad day . good day ? merek minuman sachet	minuman	{'minuman': '/en/catering'}
@drance just wait til you discover that all tableviews scroll up when you tap the top bar where the clock is :)		{}
RT @Rammsies : haha thats awesome RT : @aplusk This made me laugh today http://bit.ly/bjOhom <--- courtesy of splurb . What made you laugh ?		{}
@EnticeMeBaby Well that makes sense . When you have real life trauma , it can often drain your energy & you just withdraw into yourself . I do .		{}
@urbanturbanguy Ooh , I could be your long lost Mexican sister for this .	Mexican	{'Mexican': '/en/primera_division_de_mexico'}
Why do that to begin with ? lols . @mggykills @dieSIBdie When on vacation in Cebu , you do not sniff your roommate's boxers . #rulesbetweenmen	Cebu	{'Cebu': '/en/cebu'}
Going on a ' date ' with Whitney tonight , :P . Haha .	Whitney	{'Whitney': '/en/pratt_whitney_canada_pt6'}
is at Home-Going Well - I take a Break-Online Saturday 4:30 pm- 6:00 pm ET- Good Day- Good Night-Good Week-End !!!	Home-Going	{'Home-Going': '/authority/musicbrainz/faa239b4-0262-4c38-aa4f-b40c2cc9bda9'}
was WAITING for this day for specific reasons . now im leaving again & will have to try this bullshit AGAIN next friday . dawg wasted my time		{}
SATURDAY NIGHT CAST PARTY INVITATION http://conta.cc/csqjCc via #constantcontact	SATURDAY NIGHT	{'SATURDAY NIGHT': '/en/saturday_night_live'}
@jonasbrothers concert tomorrow with my crazy chicaaa		{}
Man : Hey there , havent I seen you some place before ?? Woman : Yes , and thats why I dont go there anymore		{}
tonight was pretty good :) but soo coldd :(		{}
Today was a good day , enjoyed myself :)		{}
Wtf ? The library closes on Friday ?		{}
@skaffbm love that sonngg !! are u going to his concert when he goes to richmond ??	richmond	{'richmond': '/en/richmond_virginia'}
@PageVGP I'm pretty sure it doesn't exist .. I said it when I was really young , and I still say it now ..		{}
Season 3 of Friday Night Lights ... It seems that no one at Dillion High School graduates .	High School||Friday Night Lights	{'High School': '/en/high_school', 'Friday Night Lights': '/authority/myspace/nbcfnl'}
RT @Madslanger : Performing in Naples tomorrow with N.E.R.D. , Maroon 5 and others at the MTV show . Tonight Stars in Vordingborg - few tic ...	Vordingborg||MTV||Maroon 5||Stars||N.E.R.D.||Naples	{'Vordingborg': '/en/vordingborg', 'MTV': '/en/mtv_video_music_awards', 'Maroon 5': '/en/maroon_5', 'Stars': '/en/stars', 'N.E.R.D.': '/en/n_e_r_d', 'Naples': '/en/naples'}
RT @JoeCienkowski : When people try to say how mean and harsh God was , remind them the true nature of God came in the person of Jesus Christ	God||Jesus Christ	{'God': '/en/god_the_father', 'Jesus Christ': '/en/jesus'}
@MinkyMoo I really didn't want one either but I literally laughed out loud when I read it . I'm sure that is not the reaction she wanted ;)		{}
Had 3 doctors appts today ... fun stuff . leaving for the bahamas tomorrow though !!		{}
Sooo I jus found out that the rising senior class of The @Oprah Leadership Academy is comin to my skool nxt Saturday yeeee !!! :)		{}
.. it's that time of year when dreams of glassy waves turn to fluffy powder .. neither of which I will get to enjoy because I have a real job .		{}
Pedersen : Hangeland won't be at Fulham for long http://bit.ly/aCXCNE #blackburnrovers	Fulham||Pedersen||Hangeland	{'Fulham': '/en/fulham_fc', 'Pedersen': '/en/morten_gamst_pedersen', 'Hangeland': '/en/brede_hangeland'}
RT @tommcfly : Working on some final Super Site stuff all day . Can't believe the Super City is nearly open !	Super City||the Super||Super||City	{'Super City': '/en/auckland_council', 'the Super': '/en/the_super_hero_squad_show', 'Super': '/en/superhero', 'City': '/en/new_york'}
mothers day greeting cards :) Surrounded by Mothers Day and Dreading It ? http://bit.ly/a7d7tg	Mothers Day	{'Mothers Day': '/en/mothers_day'}
Still dislike Early Decision for most kids , but Early Action can be great when used thoughtfully . http://ow.ly/2G1Cn #admissions #colleges		{}
Lohan faces more jail after failed drug test : Per the terms of her probation in her DUI case as laid out last mont ... http://bit.ly/cXoiO2	Lohan	{'Lohan': '/en/lindsay_lohan'}
@JBsHOTNESS i do talk about him every second she like his songs for a week :/ @clarebieberx np ! @FutreTeenStar sure !!		{}
took the combine out for a spin today , but the barley is still a tad on the wet side .		{}
RT @cityofcalgary : Free swimming and golf tomorrow for @cbc Sports Day in Canada #yyc #sportsday http://ow.ly/2G4sf	Canada	{'Canada': '/en/canada'}
Adam Beyer : Swedish Techno Pioneer : When it comes to his own DJing and sound , he's slightly more diverse and likes ... http://bit.ly/c1E0I1	Adam Beyer	{'Adam Beyer': '/en/mould'}
Institutional buying lifts UFlex 30% in a month http://bit.ly/bOAk9y		{}
RT @MyLifeAsLiz_Liz : When did being a nerd become cool & why wasn't it when I was in high school ? I would've been the most popular chick ...		{}
@FritzTitz it took me 2 tries , but after the 2nd he became one of my favorite .		{}
ohh right ... im an actor ... back to work tonight WOOT		{}
RT @DeepakChopra : Split me , make me nothing . Fling me across the fabric of space and time . From nothing once again , make me everything -Rumi		{}
The pope isn't really making much of an effort . He's wearing the same clothes as yesterday .		{}
Sweet ! RT @SimoneSOliver : Here's the London Fashion Week schedule : http://nyti.ms/bW0N3u	London Fashion Week	{'London Fashion Week': '/en/london_fashion_week'}
The British have a remarkable talent for keeping calm , even when there is no crisis .		{}
@speedy1013 I ain't seen them !! Hmm maybe have to download next time we have a movie night here . Zombies are badass !		{}
RT @fredthompson : WH rejects " global warming " , favors term " global climate disruption " . Ya know , I remember back when we used to call it ...	WH	{'WH': '/en/question'}
When you're dreaming with a broken heart		{}
Then waking up is the hardest part		{}
@thelazymarmot ohh really ? but well you saw most of the concert right ? have you seen them before ??		{}
@ClaireMcD22 I honestly don't know how she does it , she works from 8am till 9pm at least 4 days a week . She's off mon/tues ,		{}
Totes just pissed off the Vista del Lago Eagles , well some of em by saying " Go Lancers !! " teehee . They're playing each other tonite ! lol	Vista del Lago||Lancers||Eagles	{'Vista del Lago': '/en/vista_del_lago_high_school', 'Lancers': '/en/uhlan', 'Eagles': '/en/philadelphia_eagles'}
@DahlDana ooooh when's he releasing it ?		{}
@chazzy00 what we on tonight friend		{}
holy cow - I'm almost ready for sessions ! Walls painted , lights hung , backdrop system up and working ! Tomorrow ... http://fb.me/t8hzqbAZ		{}
I just took " ( ALL PARTS ) Your a normal belieber .... what happens when you find J ... " and got : Part 1 : Holidays !! Try it : http://bit.ly/aOcpG6		{}
Although , three months ? I may well be wrong on this . #cantdecide #wilty		{}
@Wale I just heard attention deficit today . Waay underrated but I still like more about nothing better		{}
super nintendo sega genesis , when i was dead broke man i couldn't picture this ! #nowplaying Juicy by Biggie	Biggie||sega||genesis||nintendo sega genesis||nintendo	{'Biggie': '/en/the_notorious_big', 'sega': '/en/sega_mega_drive', 'genesis': '/en/neon_genesis_evangelion', 'nintendo sega genesis': '/en/rom_cartridge', 'nintendo': '/en/super_nintendo_entertainment_system'}
Action is the foundational key to all success !.... take massive action today my friends ...... and watch synchronicities happen		{}
RT @ChuckMetcalf : There will likely not be a proper episode this week , but we'll give you an update on the future of the show .		{}
Finna Chill Tonite !! Dont Feel Like Doinq Shxt My Mouth Hurts !!		{}
DUDE I CAN WATCH JENNIFERS BODY :O I KNOW WHAT IMMA BE DOING ALL WEEK xD I LOVE THESE MOVIES !	IMMA BE||JENNIFERS BODY||I CAN	{'IMMA BE': '/en/imma_be', 'JENNIFERS BODY': '/en/jennifers_body', 'I CAN': '/en/i_can_transform_ya'}
Find out Why An Affiliate Home Business Is Better Than A Part Time Job : http://EzineArticles.com/4985692 EzineArticles	EzineArticles	{'EzineArticles': '/en/ezinearticles'}
Photo : Travie hanging out with fans at 103.5 in Chicago today http://tumblr.com/xvliuc7q5	Travie||Chicago	{'Travie': '/en/travis_mccoy', 'Chicago': '/en/chicago'}
@JustinxTyler i'm excited !! see you tonight !		{}
#jobs #careers #Greenville AT&T Full Time Retail Sales Consultant(s ) - Greenville , AL http://bit.ly/dflARA	AT&T||Greenville||AL	{'AT&T': '/en/at_t', 'Greenville': '/en/greenville', 'AL': '/en/al-qaeda'}
spending time with my mom #priceless		{}
Did somebody lose their shades ? Today's #cutepic winner has them ! http://twitpic.com/2pbm1d Congrats to @MissMarisa22 ! ( DM us your addy )		{}
@WildLives I do . I expect it . It's a lovely part of the day listening to a background of playground noises .		{}
im sick had a bad day hope thee game us good		{}
I went to old navy today and bought two pairs of pants . Now I have three pairs of pants !		{}
Ok off to bed BUT WHEN I WAKE UP I BETTER HAVE WON A T-SHIRT		{}
It is the 80 ' weekend ! I started today with some wonderful videos ; I'll be sharing with all of you more wonderful ... http://fb.me/G3Nzs97h		{}
Headed to Davidson vs Blount with Bennett- love spending time with my son !	Bennett-||Blount||Davidson	{'Bennett-': '/en/tony_bennett', 'Blount': '/en/blount_county_tennessee', 'Davidson': '/en/davidson_county_tennessee'}
@xoLaurenParkxo Are you watching S2 ? He doesn't get one after all .		{}
@DEVEY2G no I liked the one u had had that time but I'm sure I cood make one wit my bro possibly		{}
@Syniq yeah , after a long week , I think we need an early night , so are heading to bed shortly . We'll pop over tomorrow afternoon tho '		{}
We are one step closer to our new kitchens . We chose a maker and had official measurements taken today !		{}
RT @angelfrmcanada : RT @kraftfoods Each time you RT this & include #KraftFightsHunger , we'll donate a meal to @FeedingAmerica Give us a ...		{}
We're on the tall ship Silva tonight . Still a few tickets available . Rain is gone and we're getting ready to set sail . 1030 PM we depart	Silva	{'Silva': '/en/luis_inacio_lula_da_silva'}
@CHRIS_Daughtry Aw ur cute when u get mad ur songs r Killing me I just Love Ur Voice ! even my bros do which is weird they don't like my stuff		{}
@lovable_sin OMG OMG OMG ! Thank you for " tumblring " it to me , I so wasn't expecting them today . OMG !		{}
RT @ThePredator48 : I need all my followers 2 bring a new children's book to the game this Sunday for the @WRFoundation Redskins read boo ...	children's||children||Redskins	{"children's": '/en/childrens_literature', 'children': '/en/childrens_literature', 'Redskins': '/en/washington_redskins'}
@jesus_army :-( Mikes been at A&E all day and is now comfortable in a hospital bed :-( Hope you are both better soon .	A&E||Mikes	{'A&E': '/en/a_e_network', 'Mikes': '/en/mikes'}
@frankenteen So excited ! But .... I just called into work Tuesday night ... it's horrible but at the same time really important to work .		{}
@Bentleysbird it's hard isn't it ! Aagh . Have a few sherries . I turn into the Joker when mine is around . It's car crash to watch	the Joker	{'the Joker': '/en/novak_djokovic'}
my heart stops when you look at me , just one touch now baby i believe <33	i believe||one touch||my heart	{'i believe': '/en/i_believe_in_you_and_me', 'one touch': '/en/one_touch', 'my heart': '/en/piece_of_my_heart'}
RT @momswithapps : A family-friendly app , FREE every Friday : http://bit.ly/97opLN ( this week's app by @snowglobemaker ) #appfriday		{}
RT @PrincePoppycock : A gentleman would never get his lipstick on a lady's hand when kissing it !		{}
This . RT @bethanyshondark : RT @duchess_rebecca : Twitter is going to be less fun tonight without the snarky Joos . Aw !!	Twitter	{'Twitter': '/en/twitter'}
#reallymeans to love- can't get her outta my head wann spend every day with herz !	herz	{'herz': '/en/bosnia_and_herzegovina'}
I liked a YouTube video -- Testing Tomorrow http://youtu.be/aOYInsel7Qw?a	YouTube	{'YouTube': '/en/youtube'}
Omfg I'm bailing out of the car right now my mom slapped me when I changed the radio off this Justin Bieber you smile I smile fucking song	Justin Bieber	{'Justin Bieber': '/en/justin_bieber'}
I played this out not too long ago lol - http://www.youtube.com/watch?v=aWISNFAvGkw I really do like it even though it's utter shit .		{}
@valdary sorry i meant my dad in the first tweet , my mums been dead 5 years .		{}
" smell . ( the lack of could only help when forced to go cowtipping with ram . ) " - @jenist wins ! your mineral water is in the mail .		{}
RT @mindykaling : When you wear your heart on your sleeve , make sure your shirt is f'ing dope .		{}
Peppers with Kathy ... where we always go when we don't know where to go .	Kathy	{'Kathy': '/en/live_with_regis'}
RT @shan7792 : its annoying tht ppl ask me what race i am before they ask me my name -_-		{}
Spent all of last night puking , and all of today fretting . Some people totally fail to pick up the slack when you are away .		{}
RT @LilTwist : RT this if you want me to go back live on Ustream later tonight	Ustream	{'Ustream': '/authority/twitter/UstreamTV'}
Easy A tonight . WOOOO		{}
